Role.in.Operation,County,County.Multiple,Regions,Total.Yield.Bearing.Acreage,Acre.Ranges,Cover.Crop.Grown,Cover.Crop.Seeds,Cover.Crop.Satisfaction,Cover.Crop.Interest,Cover.Crop.Concerns,Cover.Crop.Incentives,Pollination,Beekeeper.Location,Rental.Price,Age
Owner/operator of almond orchard(s),Merced,Merced,Central,3,Small,No,NA,NA,Not sure,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Effort/time to manage it,Inadequate soil type for cover crops,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents)","Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We supplied all of our own bee pollination,NA,NA,55-64 years old
Owner/operator of almond orchard(s),Fresno,Fresno,South,20,Small,No,NA,NA,No,Prefer not to answer,None of these are incentives,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,NA,35-44 years old
Owner/operator of almond orchard(s),Fresno,Fresno,South,16.6,Small,No,NA,NA,No,"Effort/time to manage it,Labor to grow/maintain it,Inadequate soil type for cover crops",Easy/affordable access to equipment needed to plant seeds,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,300,45-54 years old
Owner/operator of almond orchard(s),Fresno,Fresno,South,18,Small,No,NA,NA,No,Prefer not to answer,Prefer not to answer,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,40,75 years or older
Owner/operator of almond orchard(s),Merced,Merced,Central,45,Medium,No,NA,NA,No,"Incompatibility with irrigation system(s),Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations",None of these are incentives,We rented all our bees,"California, but not a neighboring county",210,45-54 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,20,Small,No,NA,NA,Not sure,"Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Increased risk of frost damage","Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,206,65-74 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,10,Small,Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,NA,"Incompatibility with irrigation system(s),Increased risk of frost damage,Limited time for planting due to competing operations",NA,We rented all our bees,Out of state,180,45-54 years old
Owner/operator of almond orchard(s),Fresno,Fresno,South,10.5,Small,Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,NA,"Effort/time to manage it,Increased risk of frost damage,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations",NA,We rented all our bees,Prefer not to answer,195,45-54 years old
"Owner, not responsible for day-to-day management",Stanislaus,Stanislaus,Central,60,Medium,No,NA,NA,No,Prefer not to answer,Prefer not to answer,We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,200,55-64 years old
Owner/operator of almond orchard(s),"Stanislaus,Merced",Multiple,Central,800,Large,No,NA,NA,Yes,"Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented some bees and supplied some of our own,Out of state,180,18-24 years old
Owner/operator of almond orchard(s),San Joaquin,San Joaquin,Central,35,Small,Yes,"Directly from seed company,PCA/CCA/Crop consultant",Somewhat Satisfied,NA,"Effort/time to manage it,Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Inadequate soil type for cover crops,Limited time for planting due to competing operations,Physical interference with operations",NA,We rented all our bees,"Near your orchard(s): from the same county or a neighboring county,Out of state",200,55-64 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,10,Small,No,NA,NA,Not sure,"Availability of water,Expense of water,Incompatibility with irrigation system(s),Labor to grow/maintain it,Cost of equipment needed to plant seeds,Availability of equipment needed to plant seeds,Cost of seeds,Inadequate soil type for cover crops",None of these are incentives,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,NA,25-34 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,40,Small,No,NA,NA,Not sure,"Availability of water,Expense of water,Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Physical interference with operations",Prefer not to answer,We rented all our bees,Near your orchard(s): from the same county or a neighboring county,195,45-54 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,18,Small,Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,NA,Availability of water,NA,We rented some bees and supplied some of our own,Out of state,N/A,55-64 years old
"Owner, not responsible for day-to-day management",Merced,Merced,Central,9,Small,No,NA,NA,Yes,"Labor to grow/maintain it,Cost of equipment needed to plant seeds,Physical interference with operations","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds",We rented all our bees,Out of state,210,35-44 years old
Farm manager (not owner),Yuba,Yuba,Delta,29,Small,Yes,"Private cost-share program (e.g., Seeds for Bees)",Very Satisfied,NA,We have no concerns about cover crops,NA,Our orchards were not mature enough for bee pollination,NA,NA,65-74 years old
Farm manager (not owner),Merced,Merced,Central,33,Small,Yes,PCA/CCA/Crop consultant,Very Satisfied,NA,We have no concerns about cover crops,NA,We rented all our bees,"California, but not a neighboring county",215,45-54 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,4,Small,No,NA,NA,No,We have no concerns about cover crops,None of these are incentives,We supplied all of our own bee pollination,NA,NA,25-34 years old
Owner/operator of almond orchard(s),Merced,Merced,Central,97,Medium,No,NA,NA,Yes,Availability of water,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Federal cost-share program that covers the cost of cover crop seeds",We rented all our bees,"California, but not a neighboring county",200,25-34 years old
Farm manager (not owner),Kings,Kings,South,56,Medium,Yes,PCA/CCA/Crop consultant,Somewhat Satisfied,NA,Inadequate soil type for cover crops,NA,We rented some bees and supplied some of our own,Near your orchard(s): from the same county or a neighboring county,205,35-44 years old
"Owner, not responsible for day-to-day management",Yolo,Yolo,Delta,87,Medium,Yes,"Federal cost-share program (e.g., EQIP)",Very Satisfied,NA,We have no concerns about cover crops,NA,We rented all our bees,Out of state,210,25-34 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,8,Small,No,NA,NA,No,We have no concerns about cover crops,"Associated benefits from non-pollination services (improved soil health, water filtration, etc.)",We rented all our bees,Out of state,225,25-34 years old
Owner/operator of almond orchard(s),Kern,Kern,South,20,Small,No,NA,NA,Not sure,"Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Associated benefits from non-pollination services (improved soil health, water filtration, etc.),Decreased rental fee for managed bee colonies,Federal cost-share program that covers the cost of cover crop seeds",We rented all our bees,"California, but not a neighboring county",205,35-44 years old
Owner/operator of almond orchard(s),Stanislaus,Stanislaus,Central,40,Small,No,NA,NA,Yes,Expense of water,None of these are incentives,We supplied all of our own bee pollination,NA,NA,35-44 years old
"Owner, not responsible for day-to-day management",Yuba,Yuba,Delta,85,Medium,Yes,"Federal cost-share program (e.g., EQIP)",Somewhat Satisfied,NA,"Inadequate soil type for cover crops,Increased risk of frost damage,Physical interference with operations",NA,We rented all our bees,Out of state,185,45-54 years old
"Owner, not responsible for day-to-day management",Colusa,Colusa,North,122,Medium,Yes,"Private cost-share program (e.g., Seeds for Bees)",Somewhat Satisfied,NA,Inadequate soil type for cover crops,NA,We rented all our bees,"California, but not a neighboring county",215,45-54 years old
"Owner, not responsible for day-to-day management",Madera,Madera,Central,250,Large,No,NA,NA,Not sure,We have no concerns about cover crops,Prefer not to answer,We rented all our bees,"California, but not a neighboring county",205,25-34 years old
"Owner, not responsible for day-to-day management",Madera,Madera,Central,120,Medium,No,NA,NA,Not sure,Prefer not to answer,Prefer not to answer,Prefer not to answer,Prefer not to answer,200,35-44 years old
Farm manager (not owner),San Joaquin,San Joaquin,Central,60,Medium,Yes,Directly from seed company,Very Satisfied,NA,We have no concerns about cover crops,NA,We rented all our bees,Out of state,179,65-74 years old
"Owner, not responsible for day-to-day management",Kings,Kings,South,128,Medium,Yes,"Private cost-share program (e.g., Seeds for Bees)",Very Satisfied,NA,We have no concerns about cover crops,NA,We rented all our bees,"California, but not a neighboring county",185,35-44 years old
Owner/operator of almond orchard(s),Kern,Kern,South,38,Small,No,NA,NA,Yes,"Risk of supporting pest populations (e.g., Navel Orange Worm or rodents),Limited time for planting due to competing operations,Physical interference with operations","Federal cost-share program that covers the cost of cover crop seeds,Private cost-share program that covers the cost of cover crop seeds,Easy/affordable access to equipment needed to plant seeds,Increased strength of bee colonies during bloom",We rented all our bees,Out of state,197,55-64 years old
